-5.00E-02
5.80E+01	6.80E+01	3.42E+33	3.05E+29	1.24E+30	3.44E+29	3.06E+25	1.25E+26			
6.80E+01	8.00E+01	4.03E+28	3.27E+26	2.26E+26	4.76E+24	3.87E+22	2.66E+22			
8.00E+01	9.50E+01	4.81E+26	4.73E+26	1.13E+26	6.71E+22	6.60E+22	1.58E+22			
9.50E+01	1.15E+02	8.11E+26	8.07E+26	1.70E+26	1.36E+23	1.35E+23	2.85E+22			
1.15E+02	1.45E+02	1.54E+27	1.52E+27	3.19E+26	3.18E+23	3.15E+23	6.60E+22			
1.45E+02	1.85E+02	3.14E+27	3.10E+27	6.52E+26	8.23E+23	8.13E+23	1.71E+23			
1.85E+02	2.35E+02	6.46E+27	6.35E+27	1.34E+27	2.16E+24	2.12E+24	4.49E+23			
2.35E+02	3.00E+02	1.32E+28	1.29E+28	2.75E+27	5.62E+24	5.49E+24	1.17E+24			
										
-1.00E-02										
0.00E+00	1.00E+00	2.06E+54	1.10E+53	5.90E+49	3.31E+47	1.76E+46	9.44E+42			
1.00E+00	2.50E+00	1.40E+55	4.08E+52	1.53E+51	3.54E+49	1.03E+47	3.87E+45			
2.50E+00	4.50E+00	4.68E+55	1.36E+52	9.71E+50	2.51E+50	7.33E+46	5.22E+45			
4.50E+00	7.00E+00	6.34E+55	2.41E+51	3.15E+50	5.70E+50	2.17E+46	2.83E+45			
7.00E+00	1.00E+01	5.78E+55	3.52E+50	6.86E+49	7.74E+50	4.71E+45	9.19E+44			
1.00E+01	1.40E+01	2.23E+55	3.23E+49	8.86E+48	4.23E+50	6.11E+44	1.68E+44			
1.40E+01	1.90E+01	1.35E+54	1.31E+48	5.43E+47	3.52E+49	3.43E+43	1.42E+43			
1.90E+01	2.50E+01	8.91E+51	1.81E+46	1.06E+46	3.11E+47	6.30E+41	3.69E+41			
2.50E+01	3.20E+01	1.74E+49	7.67E+43	6.68E+43	7.88E+44	3.47E+39	3.03E+39			
